dirs,id,timepoint,CuDi_Day13,sex,group,labels,reljacs
M01935607_post_w2-EA-denoised-min,M01935607,2,34421.832,M,running,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935607_post_w2-EA-denoised-min/M01935607_post_w2-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935607_post_w2-EA-denoised-min/stats-volumes/M01935607_post_w2-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
M01935608_post_w2-EA-denoised-min,M01935608,2,4894.787,M,running,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935608_post_w2-EA-denoised-min/M01935608_post_w2-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935608_post_w2-EA-denoised-min/stats-volumes/M01935608_post_w2-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
M01935609_post_w2-EA-denoised-min,M01935609,2,123897.278,M,running,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935609_post_w2-EA-denoised-min/M01935609_post_w2-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935609_post_w2-EA-denoised-min/stats-volumes/M01935609_post_w2-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
M01935611_post_w2-EA-denoised-min,M01935611,2,NA,NA,control,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935611_post_w2-EA-denoised-min/M01935611_post_w2-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935611_post_w2-EA-denoised-min/stats-volumes/M01935611_post_w2-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
M01935612_post_w2-EA-denoised-min,M01935612,2,NA,NA,control,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935612_post_w2-EA-denoised-min/M01935612_post_w2-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935612_post_w2-EA-denoised-min/stats-volumes/M01935612_post_w2-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
M01935613_post_w2-EA-denoised-min,M01935613,2,71120.481,F,running,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935613_post_w2-EA-denoised-min/M01935613_post_w2-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935613_post_w2-EA-denoised-min/stats-volumes/M01935613_post_w2-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
M01935614_post_w2-EA-denoised-min,M01935614,2,NA,NA,control,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935614_post_w2-EA-denoised-min/M01935614_post_w2-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935614_post_w2-EA-denoised-min/stats-volumes/M01935614_post_w2-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
M01935615_post_w2-EA-denoised-min,M01935615,2,NA,NA,control,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935615_post_w2-EA-denoised-min/M01935615_post_w2-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935615_post_w2-EA-denoised-min/stats-volumes/M01935615_post_w2-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
M01935616_post_w2-EA-denoised-min,M01935616,2,112026.554,F,running,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935616_post_w2-EA-denoised-min/M01935616_post_w2-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01935616_post_w2-EA-denoised-min/stats-volumes/M01935616_post_w2-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
M01999567_post_w2_9_1_1-EA-denoised-min,M01999567,2,NA,NA,control,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01999567_post_w2_9_1_1-EA-denoised-min/M01999567_post_w2_9_1_1-EA-denoised-min_N_I_lsq6_voted.mnc,/well/lerch/users/yrf023/plasticity/plasticity-2023-03-10_processed/M01999567_post_w2_9_1_1-EA-denoised-min/stats-volumes/M01999567_post_w2_9_1_1-EA-denoised-min_N_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc
